RideID,PickupDateTime,DropoffDateTime,PickupZone,PickupLatitude,PickupLongitude,DropoffZone,DropoffLatitude,DropoffLongitude,DistanceKM,FareAmount,SurgeMultiplier,RideStatus,WaitingTimeMinutes,EstimatedTripDurationMinutes,ActualTripDurationMinutes,DriverID,CustomerID,CancellationReason,DriverRating,CustomerRating
R10,2024-01-15 05:28:10.025894,2024-01-15 05:37:10.025894,Banjara Hills,17.41850816894818,78.43885381452512,Banjara Hills,17.425434704244783,78.45193685051336,1.59,82.58,1.0,Cancelled by Customer,10,7,9,D2,C7,,5,3
R11,2024-05-02 23:42:20.945888,2024-05-03 00:05:20.945888,Hitec City,17.440314134919678,78.37460430214078,Gachibowli,17.44397207865509,78.35027754976352,2.61,115.82,1.2,Completed,4,18,23,D9,C1,,3,3
R12,2024-03-26 12:44:28.706269,2024-03-26 12:59:28.706269,Banjara Hills,17.423717025218085,78.43969549701295,Gachibowli,17.440182181011348,78.35343590324216,9.33,184.46,1.5,Completed,10,12,15,D9,C1,,3,5
R13,2024-06-26 17:01:30.625944,2024-06-26 17:16:30.625944,Gachibowli,17.44014161283783,78.34582987436524,Hitec City,17.455534590349313,78.37291214042688,3.34,112.58,1.0,Cancelled by Customer,10,18,15,D2,C11,,4,3
R14,2024-04-21 14:52:32.897667,2024-04-21 15:03:32.897667,Gachibowli,17.436714961942474,78.35466334750627,Gachibowli,17.43022410531573,78.34810439533824,1.0,78.5,1.2,Cancelled by Customer,1,13,11,D5,C8,,3,3
R15,2024-06-07 03:45:24.592147,2024-06-07 03:50:24.592147,Banjara Hills,17.412723519470592,78.45227754318466,Hitec City,17.440512663873236,78.37625845027664,8.64,161.18,1.2,Completed,9,10,5,D8,C3,,5,5
R16,2024-01-11 23:48:45.729173,2024-01-12 00:04:45.729173,Banjara Hills,17.40658479455565,78.45759794443272,Hitec City,17.447039492949205,78.37155869817948,10.18,196.16,1.2,Cancelled by Customer,2,21,16,D8,C20,,3,5
R17,2024-03-24 04:14:51.429919,2024-03-24 04:24:51.429919,Banjara Hills,17.412318858467234,78.44028651993945,Hitec City,17.439598477438555,78.3729412665542,7.76,158.12,1.2,Cancelled by Customer,8,14,10,D7,C9,,3,4
R18,2024-05-10 01:01:18.552480,2024-05-10 01:21:18.552480,Banjara Hills,17.421618039013453,78.43910813810594,Hitec City,17.450582502685304,78.37487779720246,7.54,170.48,1.5,Completed,3,21,20,D10,C10,,3,4
R19,2024-04-15 19:45:45.357337,2024-04-15 20:03:45.357337,Banjara Hills,17.407606578425032,78.4461415952102,Gachibowli,17.43654936907553,78.35250932117785,10.44,202.28,1.5,Completed,8,22,18,D3,C11,,3,4
R20,2024-06-22 00:33:12.343092,2024-06-22 01:00:12.343092,Hitec City,17.445221594892946,78.37867447421247,Gachibowli,17.43657666268745,78.35012297573152,3.18,128.66,1.0,Completed,4,26,27,D9,C9,,5,3
R21,2024-01-17 03:23:16.301506,2024-01-17 03:51:16.301506,Gachibowli,17.44015859389131,78.35624387898106,Gachibowli,17.44619243735427,78.34636499337918,1.24,106.88,1.5,Completed,8,26,28,D10,C3,,5,3
R22,2024-04-14 00:24:03.426907,2024-04-14 00:41:03.426907,Hitec City,17.45314648418022,78.37679521588807,Hitec City,17.454496857376622,78.37866876850048,0.25,78.5,1.5,Completed,1,20,17,D2,C18,,4,4
R23,2024-01-16 15:26:57.412089,2024-01-16 15:32:57.412089,Hitec City,17.441877639973537,78.37219342661079,Gachibowli,17.436312818693946,78.34427403634758,3.03,95.36,1.2,Completed,10,6,6,D9,C13,,5,4
R24,2024-02-09 11:24:21.010531,2024-02-09 11:38:21.010531,Gachibowli,17.439844029163964,78.35572885604866,Gachibowli,17.44658604457222,78.34360500463907,1.49,88.88,1.0,Completed,6,15,14,D3,C14,,5,5
R25,2024-03-05 10:33:09.100447,2024-03-05 11:11:09.100447,Banjara Hills,17.418808110571785,78.44596062203418,Banjara Hills,17.406331588401354,78.44333910976661,1.41,123.92,1.2,Cancelled by Customer,3,43,38,D3,C13,,3,3
R26,2024-05-29 13:45:32.293302,2024-05-29 14:11:32.293302,Gachibowli,17.436944401715266,78.3458147180226,Gachibowli,17.450096270533482,78.34407796480083,1.47,106.64,1.0,Completed,10,22,26,D6,C3,,3,5
R27,2024-04-27 13:03:30.100830,2024-04-27 13:34:30.100830,Banjara Hills,17.407876435279878,78.45237347205783,Gachibowli,17.432671695650342,78.34198052731467,12.03,240.86,1.0,Completed,3,29,31,D9,C2,,4,5
R28,2024-06-17 22:55:42.464367,2024-06-17 23:20:42.464367,Gachibowli,17.4349040024609,78.35861162119839,Banjara Hills,17.42028592774056,78.45567779121374,10.43,212.66,1.5,Cancelled by Customer,1,20,25,D3,C15,,3,3
R29,2024-02-07 21:43:29.409736,2024-02-07 21:59:29.409736,Gachibowli,17.44236431942912,78.35791338397841,Hitec City,17.445233653721036,78.36992600276972,1.31,89.72,1.5,Completed,8,15,16,D1,C12,,3,4
R30,2024-05-28 12:07:26.940556,2024-05-28 12:37:26.940556,Banjara Hills,17.41775063600177,78.4573024293428,Banjara Hills,17.40667352165982,78.45209932014819,1.35,111.2,1.5,Completed,10,28,30,D3,C17,,5,5
R31,2024-03-21 15:54:59.632988,2024-03-21 16:29:59.632988,Gachibowli,17.44571696349874,78.3454631996849,Banjara Hills,17.42279790552136,78.45467248719596,11.86,244.82,1.2,Completed,6,34,35,D1,C3,,3,4
R32,2024-04-11 09:41:49.348110,2024-04-11 10:02:49.348110,Hitec City,17.452688926235847,78.36780881944918,Hitec City,17.441293331097725,78.37309439084555,1.39,98.18,1.2,Completed,3,24,21,D10,C5,,5,3
R33,2024-01-22 09:47:55.089229,2024-01-22 10:22:55.089229,Hitec City,17.451754042193052,78.38652037255002,Gachibowli,17.441172591197642,78.35583230513653,3.46,144.02,1.0,Completed,8,35,35,D8,C3,,4,5
R34,2024-05-12 12:39:35.667819,2024-05-12 13:11:35.667819,Gachibowli,17.43459472082311,78.34853315133134,Hitec City,17.454701902797968,78.37864658575494,3.9,144.8,1.2,Completed,8,34,32,D3,C20,,5,4
R35,2024-03-21 14:47:47.494233,2024-03-21 15:07:47.494233,Banjara Hills,17.41302760519694,78.45728567849802,Gachibowli,17.44789597995876,78.34820356618087,12.2,226.4,1.2,Cancelled by Customer,1,18,20,D9,C18,,4,5
R36,2024-02-06 23:20:31.404931,2024-02-06 23:26:31.404931,Gachibowli,17.44774723737417,78.35462095264118,Gachibowli,17.43295163362388,78.35128767636103,1.68,79.16,1.2,Cancelled by Customer,4,5,6,D2,C3,,5,3
R37,2024-06-28 11:57:40.221858,2024-06-28 12:23:40.221858,Hitec City,17.453537719384062,78.38168284121046,Banjara Hills,17.412653071786885,78.45543306700287,9.05,197.6,1.5,Completed,2,26,26,D10,C12,,4,3
R38,2024-02-17 17:18:17.554770,2024-02-17 17:52:17.554770,Gachibowli,17.448938443444227,78.34219272989714,Banjara Hills,17.416138903363805,78.44741277406534,11.74,241.88,1.0,Cancelled by Customer,7,29,34,D6,C5,,5,4
R39,2024-05-14 02:26:09.788354,2024-05-14 02:53:09.788354,Gachibowli,17.449967023126433,78.34544713214837,Gachibowli,17.448848985436214,78.35874271563442,1.42,107.54,1.0,Completed,4,29,27,D10,C12,,4,4
R40,2024-04-06 23:28:46.339178,2024-04-06 23:35:46.339178,Gachibowli,17.435105884994417,78.34714329676176,Gachibowli,17.432692300070304,78.34852081266352,0.31,64.22,1.5,Cancelled by Customer,9,12,7,D4,C15,,3,3
R41,2024-02-24 07:55:51.730811,2024-02-24 08:06:51.730811,Gachibowli,17.433027457408517,78.33953707240916,Banjara Hills,17.40729549853143,78.45253382232575,12.33,214.46,1.5,Cancelled by Customer,7,7,11,D5,C14,,5,3
R42,2024-05-30 14:51:40.154493,2024-05-30 15:15:40.154493,Gachibowli,17.44121110375775,78.35399751533538,Gachibowli,17.446816033570055,78.35120155576037,0.69,94.28,1.0,Cancelled by Customer,2,23,24,D6,C16,,4,4
R43,2024-05-04 12:24:11.703039,2024-05-04 12:30:11.703039,Gachibowli,17.43656160421938,78.35144448744761,Hitec City,17.456318907098698,78.37245538879812,3.13,96.56,1.2,Completed,4,5,6,D5,C13,,4,3
R44,2024-04-01 11:52:04.099370,2024-04-01 11:58:04.099370,Hitec City,17.447079866800582,78.36839494371324,Hitec City,17.44810229030555,78.37261060189276,0.46,64.52,1.0,Cancelled by Customer,1,4,6,D7,C16,,3,5
R45,2024-01-02 18:59:12.184455,2024-01-02 19:07:12.184455,Gachibowli,17.439376151961024,78.34465684314863,Hitec City,17.453528658598124,78.36920908793047,3.04,98.48,1.0,Completed,3,5,8,D4,C19,,3,5
R46,2024-04-12 22:57:10.909638,2024-04-12 23:04:10.909638,Banjara Hills,17.425855287129572,78.45464654679786,Hitec City,17.4459806689086,78.38523361984966,7.7,152.9,1.2,Cancelled by Customer,5,2,7,D7,C7,,3,5
R47,2024-01-12 06:56:04.914286,2024-01-12 07:12:04.914286,Banjara Hills,17.42390929615455,78.444372086682,Banjara Hills,17.41172751695606,78.44465217146663,1.35,90.2,1.2,Completed,4,11,16,D4,C4,,4,3
R48,2024-05-18 13:28:57.749203,2024-05-18 13:34:57.749203,Hitec City,17.45513088294637,78.38171750981458,Gachibowli,17.43336834671329,78.35619729856316,3.63,102.56,1.5,Completed,5,11,6,D3,C1,,5,5
R49,2024-05-17 15:32:04.175008,2024-05-17 15:57:04.175008,Hitec City,17.44045153219566,78.38516982566132,Gachibowli,17.434514442990007,78.3493935725056,3.85,133.7,1.5,Cancelled by Customer,1,26,25,D2,C1,,5,4
R50,2024-04-09 20:52:09.688137,2024-04-09 21:12:09.688137,Hitec City,17.444600918948343,78.38187582355563,Hitec City,17.450034151457505,78.37918649410157,0.67,88.04,1.5,Cancelled by Customer,7,21,20,D9,C10,,3,3
R51,2024-01-27 18:37:50.441638,2024-01-27 19:05:50.441638,Hitec City,17.4434664653554,78.38363045634742,Hitec City,17.446146694375958,78.38559503422347,0.36,96.32,1.5,Completed,9,33,28,D3,C4,,5,4
R52,2024-02-16 11:12:48.834999,2024-02-16 11:26:48.834999,Hitec City,17.45566424229053,78.38354135299039,Banjara Hills,17.411752063984242,78.44266080061901,7.95,166.4,1.5,Completed,9,19,14,D4,C7,,4,5
R53,2024-05-21 18:39:07.602786,2024-05-21 19:02:07.602786,Banjara Hills,17.41515325009855,78.45106539050153,Banjara Hills,17.423538860660628,78.43906718610462,1.58,103.46,1.2,Completed,6,18,23,D3,C17,,3,4
R54,2024-02-08 17:31:02.354593,2024-02-08 17:49:02.354593,Hitec City,17.442706568187095,78.37953671640375,Gachibowli,17.434468702457554,78.34222332884018,4.06,125.72,1.0,Completed,9,23,18,D1,C7,,4,3
R55,2024-01-28 22:56:38.075795,2024-01-28 23:14:38.075795,Hitec City,17.440885984485703,78.38566975092301,Gachibowli,17.43676517418503,78.3462209435382,4.21,127.52,1.0,Cancelled by Customer,3,21,18,D7,C11,,4,3
R56,2024-01-26 16:01:48.196345,2024-01-26 16:27:48.196345,Gachibowli,17.44139497543732,78.34101345818617,Banjara Hills,17.420682520345828,78.43898867641272,10.65,216.8,1.0,Completed,1,26,26,D8,C19,,3,5
R57,2024-02-07 23:30:12.209440,2024-02-07 23:50:12.209440,Gachibowli,17.43772589579261,78.35855871109017,Banjara Hills,17.409016175495633,78.44323599297427,9.53,194.36,1.2,Completed,5,23,20,D6,C19,,5,3
R58,2024-02-29 05:48:20.409452,2024-02-29 06:04:20.409452,Hitec City,17.44289075622638,78.37875212114614,Banjara Hills,17.40912968440198,78.44869840490976,8.32,173.84,1.2,Cancelled by Customer,2,19,16,D4,C13,,3,3
R59,2024-06-16 01:07:03.810641,2024-06-16 01:12:03.810641,Hitec City,17.454210996977746,78.38553608648117,Gachibowli,17.435048057330285,78.34653356123546,4.65,113.3,1.5,Completed,6,7,5,D2,C8,,5,4
R60,2024-04-01 20:49:05.400594,2024-04-01 21:00:05.400594,Hitec City,17.445755895696884,78.3853367353181,Hitec City,17.44033156266836,78.38289952429555,0.66,74.42,1.5,Cancelled by Customer,4,13,11,D2,C19,,4,4
R61,2024-05-15 15:36:02.648295,2024-05-15 16:02:02.648295,Gachibowli,17.44891863520012,78.35506258304186,Hitec City,17.455713877236956,78.38563184864252,3.33,128.96,1.5,Cancelled by Customer,1,30,26,D5,C1,,4,5
R62,2024-05-14 19:47:09.024158,2024-05-14 20:19:09.024158,Gachibowli,17.448773364071783,78.35631984976112,Hitec City,17.43980403984952,78.37267658791141,2.0,122.0,1.5,Completed,7,31,32,D6,C14,,5,3
R63,2024-03-07 04:49:14.019923,2024-03-07 05:03:14.019923,Hitec City,17.450515788789005,78.38503621995123,Hitec City,17.448496875387075,78.3695528782604,1.66,90.92,1.2,Cancelled by Customer,8,14,14,D8,C12,,4,4
R64,2024-01-02 22:53:38.110689,2024-01-02 23:13:38.110689,Banjara Hills,17.4078840981742,78.44193906379927,Gachibowli,17.444489661827152,78.33983580998526,11.57,218.84,1.2,Completed,8,24,20,D2,C6,,5,5
R65,2024-01-15 17:31:18.855755,2024-01-15 17:57:18.855755,Banjara Hills,17.421564288804046,78.45382356306415,Hitec City,17.44004808122181,78.37977690236978,8.12,186.44,1.5,Cancelled by Customer,3,24,26,D8,C17,,5,3
R66,2024-06-15 21:25:37.636905,2024-06-15 21:59:37.636905,Banjara Hills,17.425417119520848,78.457622016345,Gachibowli,17.444315420874315,78.3553502547792,11.05,233.6,1.0,Completed,4,35,34,D8,C14,,3,4
R67,2024-06-07 17:29:31.063929,2024-06-07 17:37:31.063929,Hitec City,17.451297918114935,78.38164895942776,Banjara Hills,17.414734979208127,78.45634002367238,8.91,168.92,1.0,Completed,3,13,8,D8,C14,,5,4
R68,2024-05-21 09:22:19.178746,2024-05-21 09:30:19.178746,Banjara Hills,17.423862314643717,78.43907335229657,Gachibowli,17.45017595798312,78.34859507207838,10.03,182.36,1.0,Completed,1,8,8,D3,C9,,3,4
R69,2024-01-06 12:45:04.355602,2024-01-06 13:00:04.355602,Gachibowli,17.44154506187112,78.34703065851967,Banjara Hills,17.412837631624207,78.44838638385548,11.22,207.14,1.0,Cancelled by Customer,5,11,15,D9,C17,,3,5
R70,2024-06-21 12:16:03.954346,2024-06-21 12:46:03.954346,Banjara Hills,17.4224933919087,78.44095746220482,Hitec City,17.45709707666512,78.38616163716745,6.97,178.64,1.2,Cancelled by Customer,4,30,30,D7,C18,,3,3
R71,2024-02-21 08:31:59.769881,2024-02-21 08:36:59.769881,Banjara Hills,17.424701484840263,78.45119552087742,Gachibowli,17.433069981401864,78.35881727617945,9.84,175.58,1.2,Cancelled by Customer,4,4,5,D6,C1,,5,5
R72,2024-06-13 22:27:48.441817,2024-06-13 22:51:48.441817,Banjara Hills,17.42562287507929,78.4522222005473,Hitec City,17.45474734389902,78.37944557719707,8.37,186.44,1.0,Cancelled by Customer,7,29,24,D10,C20,,5,3
R73,2024-04-23 07:15:23.606359,2024-04-23 07:35:23.606359,Gachibowli,17.441425861028883,78.3423009326674,Banjara Hills,17.41463430767427,78.45034668963297,11.84,222.08,1.0,Cancelled by Customer,10,23,20,D4,C14,,4,4
R74,2024-01-07 14:23:31.042361,2024-01-07 14:39:31.042361,Banjara Hills,17.423616277191194,78.45689364494585,Banjara Hills,17.42536857403705,78.45417029274084,0.35,78.2,1.0,Completed,1,20,16,D8,C16,,4,3
R75,2024-04-16 08:35:37.810223,2024-04-16 09:08:37.810223,Hitec City,17.437583887330288,78.36919559292899,Banjara Hills,17.417269497440945,78.44532882050116,8.39,200.18,1.5,Completed,3,28,33,D5,C17,,5,5
R76,2024-02-20 17:10:26.910497,2024-02-20 17:47:26.910497,Gachibowli,17.437325829568696,78.35795484297323,Hitec City,17.44163976615543,78.37560918608705,1.93,128.66,1.5,Cancelled by Customer,6,40,37,D5,C20,,5,4
R77,2024-05-02 21:33:26.815292,2024-05-02 21:41:26.815292,Banjara Hills,17.42339750662978,78.4533048392071,Banjara Hills,17.40667724137859,78.45805691759519,1.93,85.16,1.5,Completed,6,3,8,D5,C15,,4,3
R78,2024-02-06 20:35:26.382069,2024-02-06 20:41:26.382069,Banjara Hills,17.425265387021444,78.45758037759248,Hitec City,17.438314940024206,78.384612877952,7.88,153.56,1.5,Cancelled by Customer,8,6,6,D10,C6,,4,4
R79,2024-03-24 07:04:04.053147,2024-03-24 07:26:04.053147,Banjara Hills,17.413019852844293,78.4441336927301,Hitec City,17.441671553770313,78.3745115538868,8.04,179.48,1.5,Cancelled by Customer,8,23,22,D9,C20,,5,5
R80,2024-03-01 04:40:01.655623,2024-03-01 05:02:01.655623,Gachibowli,17.434260362394497,78.35372579145756,Hitec City,17.45718380054765,78.38558481641383,4.23,133.76,1.0,Cancelled by Customer,8,19,22,D6,C3,,4,5
R81,2024-01-21 07:57:31.685791,2024-01-21 08:26:31.685791,Hitec City,17.443177480487687,78.36826824011031,Hitec City,17.45444492567243,78.3854297008035,2.21,120.02,1.0,Completed,1,32,29,D6,C6,,3,3
R82,2024-01-07 15:50:02.564020,2024-01-07 16:03:02.564020,Hitec City,17.438021414741076,78.37605579766897,Hitec City,17.442323748092512,78.37312879914404,0.57,76.34,1.2,Completed,5,12,13,D2,C3,,4,4
R83,2024-01-17 11:50:48.888707,2024-01-17 12:25:48.888707,Hitec City,17.45315414027676,78.38200737860065,Hitec City,17.445864689404402,78.38140850368254,0.81,112.22,1.2,Cancelled by Customer,3,32,35,D3,C15,,5,4
R84,2024-02-25 12:42:18.177921,2024-02-25 13:07:18.177921,Banjara Hills,17.4211004634321,78.45389484458853,Hitec City,17.4477957783054,78.37046189776245,9.34,199.58,1.5,Completed,10,26,25,D5,C6,,5,5
R85,2024-01-09 23:57:32.299094,2024-01-10 00:21:32.299094,Hitec City,17.439906232764173,78.37233338292424,Banjara Hills,17.413911911485364,78.44945989094742,8.68,190.16,1.5,Completed,3,28,24,D7,C6,,4,4
R86,2024-03-26 19:15:46.232950,2024-03-26 19:30:46.232950,Hitec City,17.456747271711293,78.37706599756015,Hitec City,17.455923532008608,78.37638982114665,0.12,73.94,1.2,Cancelled by Customer,2,16,15,D4,C7,,4,4
R87,2024-03-02 19:44:16.019424,2024-03-02 20:22:16.019424,Gachibowli,17.437463450725637,78.34129592199655,Hitec City,17.448765124832825,78.37218226472352,3.51,149.12,1.5,Cancelled by Customer,7,34,38,D6,C8,,3,4
R88,2024-06-21 19:03:01.223789,2024-06-21 19:37:01.223789,Gachibowli,17.432939384444037,78.34042377592164,Banjara Hills,17.4077582925424,78.45074333312618,12.03,245.36,1.5,Cancelled by Customer,6,33,34,D3,C8,,5,4
R89,2024-05-30 21:45:54.974196,2024-05-30 22:23:54.974196,Banjara Hills,17.420488059546564,78.44900266856227,Gachibowli,17.444069507783908,78.3480745064954,11.02,239.24,1.0,Completed,8,33,38,D1,C11,,5,4
R90,2024-06-05 12:55:38.728588,2024-06-05 13:24:38.728588,Gachibowli,17.434063236316163,78.3439752275474,Hitec City,17.449204085346405,78.37301522263186,3.51,135.62,1.0,Cancelled by Customer,2,25,29,D10,C4,,3,4
R91,2024-01-10 04:03:44.206915,2024-01-10 04:11:44.206915,Gachibowli,17.439988811501024,78.3462127360267,Banjara Hills,17.42052837686122,78.44360967689961,10.56,188.72,1.2,Completed,3,6,8,D5,C14,,5,4
R92,2024-05-05 23:51:51.130405,2024-05-06 00:28:51.130405,Banjara Hills,17.417298346810956,78.44387277738218,Hitec City,17.44273823598713,78.373933229479,7.94,200.78,1.0,Completed,1,36,37,D10,C8,,4,5
R93,2024-01-26 07:24:51.145193,2024-01-26 07:43:51.145193,Gachibowli,17.433860290765402,78.34403163327565,Gachibowli,17.431595837967127,78.34176338189086,0.35,82.7,1.5,Cancelled by Customer,3,16,19,D9,C3,,4,5
R94,2024-01-03 06:28:59.535405,2024-01-03 06:59:59.535405,Hitec City,17.45112158164087,78.37678646721922,Gachibowli,17.44968658402735,78.34738259158817,3.12,133.94,1.5,Completed,2,26,31,D5,C1,,3,5
R95,2024-05-07 02:41:19.919576,2024-05-07 03:02:19.919576,Hitec City,17.44691453891542,78.38582287999533,Gachibowli,17.445368420312224,78.34159543408472,4.69,137.78,1.5,Cancelled by Customer,9,22,21,D2,C6,,3,4
R96,2024-02-24 03:29:48.978013,2024-02-24 04:02:48.978013,Banjara Hills,17.42359168962087,78.45489445647787,Hitec City,17.447575918005715,78.38097074471811,8.28,198.86,1.5,Completed,9,32,33,D3,C16,,5,3
R97,2024-06-21 09:31:02.530666,2024-06-21 09:52:02.530666,Hitec City,17.449314953043384,78.38291436483267,Hitec City,17.45694291640255,78.37859881855128,0.96,93.02,1.2,Cancelled by Customer,4,19,21,D9,C3,,5,4
R98,2024-05-17 07:28:20.502665,2024-05-17 07:48:20.502665,Gachibowli,17.447098589778687,78.35506616277083,Hitec City,17.44203103242752,78.36745005128891,1.43,97.16,1.0,Completed,7,19,20,D8,C9,,5,3
R99,2024-05-11 02:09:01.873583,2024-05-11 02:42:01.873583,Gachibowli,17.445069653107787,78.35530664013717,Banjara Hills,17.42528102642432,78.45596114493324,10.9,230.3,1.5,Completed,2,38,33,D10,C20,,4,5
R100,2024-05-06 07:29:50.663030,2024-05-06 07:41:50.663030,Banjara Hills,17.411609011172366,78.44923640062744,Hitec City,17.451472793875688,78.36974369912788,9.53,182.36,1.2,Cancelled by Customer,8,10,12,D2,C12,,4,4
R101,2024-01-18 18:18:24.120579,2024-01-18 18:56:24.120579,Gachibowli,17.438522209924542,78.34693555246965,Hitec City,17.444539511900945,78.36973019810787,2.51,137.12,1.0,Completed,6,40,38,D8,C14,,4,3
R102,2024-02-02 08:46:11.583673,2024-02-02 09:21:11.583673,Hitec City,17.45498607428314,78.37519086490609,Gachibowli,17.44627901606843,78.34012912019604,3.84,148.58,1.5,Cancelled by Customer,9,34,35,D9,C11,,5,3
R103,2024-02-03 02:50:42.483869,2024-02-03 03:24:42.483869,Banjara Hills,17.410502677037364,78.45849627521268,Banjara Hills,17.424427458322953,78.45530943189772,1.58,119.96,1.5,Completed,3,34,34,D6,C19,,5,5
R104,2024-03-31 23:57:34.366522,2024-04-01 00:16:34.366522,Hitec City,17.442448381628722,78.37687991373123,Gachibowli,17.44700346935307,78.34932218507966,2.97,114.14,1.5,Completed,4,14,19,D1,C5,,3,4
R105,2024-04-29 19:32:35.733420,2024-04-29 20:04:35.733420,Hitec City,17.44203375488176,78.3812273625323,Gachibowli,17.438049460515437,78.35134601393062,3.2,136.4,1.5,Completed,5,35,32,D8,C12,,4,5
R106,2024-02-17 09:26:19.878053,2024-02-17 10:06:19.878053,Hitec City,17.457123387502246,78.36902021331032,Gachibowli,17.43168330409383,78.34949936550862,3.51,152.12,1.0,Completed,6,40,40,D6,C6,,4,4
R107,2024-05-12 02:42:24.817066,2024-05-12 02:52:24.817066,Hitec City,17.45083206192813,78.38281554004551,Hitec City,17.44642459488052,78.37322694744351,1.13,78.56,1.2,Cancelled by Customer,2,12,10,D1,C20,,5,4
R108,2024-06-26 19:18:18.941389,2024-06-26 19:54:18.941389,Gachibowli,17.4455902499886,78.35181526382964,Gachibowli,17.442771789855517,78.35450716197238,0.42,109.04,1.0,Cancelled by Customer,5,36,36,D6,C1,,4,4
R109,2024-01-11 20:26:45.475732,2024-01-11 20:47:45.475732,Gachibowli,17.433577939506726,78.34711705132798,Gachibowli,17.437605135872435,78.3446934937764,0.52,87.74,1.0,Cancelled by Customer,2,22,21,D1,C5,,4,5
R110,2024-02-28 19:18:48.974231,2024-02-28 19:27:48.974231,Banjara Hills,17.411792080723966,78.45820547777382,Hitec City,17.43765421411569,78.38329315872808,8.45,164.9,1.5,Cancelled by Customer,3,7,9,D5,C6,,4,5
R111,2024-02-04 16:04:52.746335,2024-02-04 16:09:52.746335,Hitec City,17.45009685602652,78.37584672011897,Banjara Hills,17.413685907064092,78.44272497440193,8.17,155.54,1.0,Cancelled by Customer,3,9,5,D10,C20,,4,5
R112,2024-01-23 13:20:34.546548,2024-01-23 13:51:34.546548,Gachibowli,17.435680650147795,78.34993815821619,Gachibowli,17.43045501905689,78.3529983758847,0.67,104.54,1.2,Cancelled by Customer,5,31,31,D10,C6,,4,3
R113,2024-01-20 13:17:34.385999,2024-01-20 13:30:34.385999,Hitec City,17.444268758268663,78.37745070484256,Hitec City,17.44344183454539,78.37815424807458,0.12,70.94,1.2,Completed,8,8,13,D7,C6,,3,5
R114,2024-05-31 00:49:51.851683,2024-05-31 00:58:51.851683,Hitec City,17.443629435928596,78.38280391398138,Gachibowli,17.431399260300044,78.34923011398823,3.81,109.22,1.0,Cancelled by Customer,5,4,9,D10,C9,,5,5
R115,2024-01-27 21:24:39.468647,2024-01-27 22:04:39.468647,Hitec City,17.454050305468424,78.38178605343184,Banjara Hills,17.424361677927163,78.4547393764104,8.41,210.92,1.2,Cancelled by Customer,2,43,40,D6,C8,,3,5
R116,2024-03-29 16:38:25.597773,2024-03-29 17:03:25.597773,Banjara Hills,17.413815718702352,78.44494637005145,Hitec City,17.449349091233856,78.38051992515979,7.89,182.18,1.2,Completed,1,27,25,D5,C8,,4,5
